order,character,unicode,category,tier,frequency_rank,pinyin,stroke_count,source
394,爱,U+7231,hanzi_frequency,phase1,394,ài,10,Jun Da frequency list; filtered by General Standard Level 1
395,击,U+51FB,hanzi_frequency,phase1,395,jī,5,Jun Da frequency list; filtered by General Standard Level 1
396,流,U+6D41,hanzi_frequency,phase1,396,liú,10,Jun Da frequency list; filtered by General Standard Level 1
397,备,U+5907,hanzi_frequency,phase1,397,bèi,8,Jun Da frequency list; filtered by General Standard Level 1
398,兵,U+5175,hanzi_frequency,phase1,398,bīng,7,Jun Da frequency list; filtered by General Standard Level 1
399,连,U+8FDE,hanzi_frequency,phase1,399,lián,7,Jun Da frequency list; filtered by General Standard Level 1
400,调,U+8C03,hanzi_frequency,phase1,400,diào,10,Jun Da frequency list; filtered by General Standard Level 1
401,深,U+6DF1,hanzi_frequency,phase1,401,shēn,11,Jun Da frequency list; filtered by General Standard Level 1
402,商,U+5546,hanzi_frequency,phase1,402,shāng,11,Jun Da frequency list; filtered by General Standard Level 1
403,算,U+7B97,hanzi_frequency,phase1,403,suàn,14,Jun Da frequency list; filtered by General Standard Level 1
404,质,U+8D28,hanzi_frequency,phase1,404,zhì,8,Jun Da frequency list; filtered by General Standard Level 1
405,团,U+56E2,hanzi_frequency,phase1,405,tuán,6,Jun Da frequency list; filtered by General Standard Level 1
406,集,U+96C6,hanzi_frequency,phase1,406,jí,12,Jun Da frequency list; filtered by General Standard Level 1
407,百,U+767E,hanzi_frequency,phase1,407,bǎi,6,Jun Da frequency list; filtered by General Standard Level 1
408,需,U+9700,hanzi_frequency,phase1,408,xū,14,Jun Da frequency list; filtered by General Standard Level 1
409,价,U+4EF7,hanzi_frequency,phase1,409,jià,6,Jun Da frequency list; filtered by General Standard Level 1
410,花,U+82B1,hanzi_frequency,phase1,410,huā,7,Jun Da frequency list; filtered by General Standard Level 1
411,党,U+515A,hanzi_frequency,phase1,411,dǎng,10,Jun Da frequency list; filtered by General Standard Level 1
412,华,U+534E,hanzi_frequency,phase1,412,huá,6,Jun Da frequency list; filtered by General Standard Level 1
413,城,U+57CE,hanzi_frequency,phase1,413,chéng,9,Jun Da frequency list; filtered by General Standard Level 1
414,石,U+77F3,hanzi_frequency,phase1,414,shí,5,Jun Da frequency list; filtered by General Standard Level 1
415,级,U+7EA7,hanzi_frequency,phase1,415,jí,6,Jun Da frequency list; filtered by General Standard Level 1
416,整,U+6574,hanzi_frequency,phase1,416,zhěng,16,Jun Da frequency list; filtered by General Standard Level 1
417,府,U+5E9C,hanzi_frequency,phase1,417,fǔ,8,Jun Da frequency list; filtered by General Standard Level 1
418,离,U+79BB,hanzi_frequency,phase1,418,lí,10,Jun Da frequency list; filtered by General Standard Level 1
419,况,U+51B5,hanzi_frequency,phase1,419,kuàng,7,Jun Da frequency list; filtered by General Standard Level 1
420,亚,U+4E9A,hanzi_frequency,phase1,420,yà,6,Jun Da frequency list; filtered by General Standard Level 1
421,请,U+8BF7,hanzi_frequency,phase1,421,qǐng,10,Jun Da frequency list; filtered by General Standard Level 1
422,技,U+6280,hanzi_frequency,phase1,422,jì,7,Jun Da frequency list; filtered by General Standard Level 1
423,际,U+9645,hanzi_frequency,phase1,423,jì,7,Jun Da frequency list; filtered by General Standard Level 1
424,约,U+7EA6,hanzi_frequency,phase1,424,yuē,6,Jun Da frequency list; filtered by General Standard Level 1
425,示,U+793A,hanzi_frequency,phase1,425,shì,5,Jun Da frequency list; filtered by General Standard Level 1
426,复,U+590D,hanzi_frequency,phase1,426,fù,9,Jun Da frequency list; filtered by General Standard Level 1
427,病,U+75C5,hanzi_frequency,phase1,427,bìng,10,Jun Da frequency list; filtered by General Standard Level 1
428,息,U+606F,hanzi_frequency,phase1,428,xī,10,Jun Da frequency list; filtered by General Standard Level 1
429,究,U+7A76,hanzi_frequency,phase1,429,jiū,7,Jun Da frequency list; filtered by General Standard Level 1
430,线,U+7EBF,hanzi_frequency,phase1,430,xiàn,8,Jun Da frequency list; filtered by General Standard Level 1
431,似,U+4F3C,hanzi_frequency,phase1,431,shì,6,Jun Da frequency list; filtered by General Standard Level 1
432,官,U+5B98,hanzi_frequency,phase1,432,guān,8,Jun Da frequency list; filtered by General Standard Level 1
433,火,U+706B,hanzi_frequency,phase1,433,huǒ,4,Jun Da frequency list; filtered by General Standard Level 1
434,断,U+65AD,hanzi_frequency,phase1,434,duàn,11,Jun Da frequency list; filtered by General Standard Level 1
435,精,U+7CBE,hanzi_frequency,phase1,435,jīng,14,Jun Da frequency list; filtered by General Standard Level 1
436,满,U+6EE1,hanzi_frequency,phase1,436,mǎn,13,Jun Da frequency list; filtered by General Standard Level 1
437,支,U+652F,hanzi_frequency,phase1,437,zhī,4,Jun Da frequency list; filtered by General Standard Level 1
438,视,U+89C6,hanzi_frequency,phase1,438,shì,8,Jun Da frequency list; filtered by General Standard Level 1
439,消,U+6D88,hanzi_frequency,phase1,439,xiāo,10,Jun Da frequency list; filtered by General Standard Level 1
440,越,U+8D8A,hanzi_frequency,phase1,440,yuè,12,Jun Da frequency list; filtered by General Standard Level 1
441,器,U+5668,hanzi_frequency,phase1,441,qì,16,Jun Da frequency list; filtered by General Standard Level 1
442,容,U+5BB9,hanzi_frequency,phase1,442,róng,10,Jun Da frequency list; filtered by General Standard Level 1
443,照,U+7167,hanzi_frequency,phase1,443,zhào,13,Jun Da frequency list; filtered by General Standard Level 1
444,须,U+987B,hanzi_frequency,phase1,444,xū,9,Jun Da frequency list; filtered by General Standard Level 1
445,九,U+4E5D,hanzi_frequency,phase1,445,jiǔ,2,Jun Da frequency list; filtered by General Standard Level 1
446,增,U+589E,hanzi_frequency,phase1,446,zēng,15,Jun Da frequency list; filtered by General Standard Level 1
447,研,U+7814,hanzi_frequency,phase1,447,yán,9,Jun Da frequency list; filtered by General Standard Level 1
448,写,U+5199,hanzi_frequency,phase1,448,xiě,5,Jun Da frequency list; filtered by General Standard Level 1
449,称,U+79F0,hanzi_frequency,phase1,449,chēng,10,Jun Da frequency list; filtered by General Standard Level 1
450,企,U+4F01,hanzi_frequency,phase1,450,qǐ,6,Jun Da frequency list; filtered by General Standard Level 1
451,八,U+516B,hanzi_frequency,phase1,451,bā,2,Jun Da frequency list; filtered by General Standard Level 1
452,功,U+529F,hanzi_frequency,phase1,452,gōng,5,Jun Da frequency list; filtered by General Standard Level 1
453,吗,U+5417,hanzi_frequency,phase1,453,ma,6,Jun Da frequency list; filtered by General Standard Level 1
454,包,U+5305,hanzi_frequency,phase1,454,bāo,5,Jun Da frequency list; filtered by General Standard Level 1
455,片,U+7247,hanzi_frequency,phase1,455,piàn,4,Jun Da frequency list; filtered by General Standard Level 1
456,史,U+53F2,hanzi_frequency,phase1,456,shǐ,5,Jun Da frequency list; filtered by General Standard Level 1
457,委,U+59D4,hanzi_frequency,phase1,457,wěi,8,Jun Da frequency list; filtered by General Standard Level 1
458,乎,U+4E4E,hanzi_frequency,phase1,458,hū,5,Jun Da frequency list; filtered by General Standard Level 1
459,查,U+67E5,hanzi_frequency,phase1,459,chá,9,Jun Da frequency list; filtered by General Standard Level 1
460,轻,U+8F7B,hanzi_frequency,phase1,460,qīng,9,Jun Da frequency list; filtered by General Standard Level 1
461,易,U+6613,hanzi_frequency,phase1,461,yì,8,Jun Da frequency list; filtered by General Standard Level 1
462,早,U+65E9,hanzi_frequency,phase1,462,zǎo,6,Jun Da frequency list; filtered by General Standard Level 1
463,曾,U+66FE,hanzi_frequency,phase1,463,céng,12,Jun Da frequency list; filtered by General Standard Level 1
464,除,U+9664,hanzi_frequency,phase1,464,chú,9,Jun Da frequency list; filtered by General Standard Level 1
465,农,U+519C,hanzi_frequency,phase1,465,nóng,6,Jun Da frequency list; filtered by General Standard Level 1
466,找,U+627E,hanzi_frequency,phase1,466,zhǎo,7,Jun Da frequency list; filtered by General Standard Level 1
467,装,U+88C5,hanzi_frequency,phase1,467,zhuāng,12,Jun Da frequency list; filtered by General Standard Level 1
468,广,U+5E7F,hanzi_frequency,phase1,468,guǎng,3,Jun Da frequency list; filtered by General Standard Level 1
469,显,U+663E,hanzi_frequency,phase1,469,xiǎn,9,Jun Da frequency list; filtered by General Standard Level 1
470,吧,U+5427,hanzi_frequency,phase1,470,ba,7,Jun Da frequency list; filtered by General Standard Level 1
471,阿,U+963F,hanzi_frequency,phase1,471,ā,7,Jun Da frequency list; filtered by General Standard Level 1
472,李,U+674E,hanzi_frequency,phase1,472,lǐ,7,Jun Da frequency list; filtered by General Standard Level 1
473,标,U+6807,hanzi_frequency,phase1,473,biāo,9,Jun Da frequency list; filtered by General Standard Level 1
474,谈,U+8C08,hanzi_frequency,phase1,474,tán,10,Jun Da frequency list; filtered by General Standard Level 1
475,吃,U+5403,hanzi_frequency,phase1,475,chī,6,Jun Da frequency list; filtered by General Standard Level 1
476,图,U+56FE,hanzi_frequency,phase1,476,tú,8,Jun Da frequency list; filtered by General Standard Level 1
477,念,U+5FF5,hanzi_frequency,phase1,477,niàn,8,Jun Da frequency list; filtered by General Standard Level 1
478,六,U+516D,hanzi_frequency,phase1,478,liù,4,Jun Da frequency list; filtered by General Standard Level 1
479,引,U+5F15,hanzi_frequency,phase1,479,yǐn,4,Jun Da frequency list; filtered by General Standard Level 1
480,历,U+5386,hanzi_frequency,phase1,480,lì,4,Jun Da frequency list; filtered by General Standard Level 1
481,首,U+9996,hanzi_frequency,phase1,481,shǒu,9,Jun Da frequency list; filtered by General Standard Level 1
482,医,U+533B,hanzi_frequency,phase1,482,yī,7,Jun Da frequency list; filtered by General Standard Level 1
483,局,U+5C40,hanzi_frequency,phase1,483,jú,7,Jun Da frequency list; filtered by General Standard Level 1
484,突,U+7A81,hanzi_frequency,phase1,484,tū,9,Jun Da frequency list; filtered by General Standard Level 1
485,专,U+4E13,hanzi_frequency,phase1,485,zhuān,4,Jun Da frequency list; filtered by General Standard Level 1
486,费,U+8D39,hanzi_frequency,phase1,486,fèi,9,Jun Da frequency list; filtered by General Standard Level 1
487,号,U+53F7,hanzi_frequency,phase1,487,hào,5,Jun Da frequency list; filtered by General Standard Level 1
488,尽,U+5C3D,hanzi_frequency,phase1,488,jǐn,6,Jun Da frequency list; filtered by General Standard Level 1
489,另,U+53E6,hanzi_frequency,phase1,489,lìng,5,Jun Da frequency list; filtered by General Standard Level 1
490,周,U+5468,hanzi_frequency,phase1,490,zhōu,8,Jun Da frequency list; filtered by General Standard Level 1
491,较,U+8F83,hanzi_frequency,phase1,491,jiào,10,Jun Da frequency list; filtered by General Standard Level 1
492,注,U+6CE8,hanzi_frequency,phase1,492,zhù,8,Jun Da frequency list; filtered by General Standard Level 1
493,语,U+8BED,hanzi_frequency,phase1,493,yǔ,9,Jun Da frequency list; filtered by General Standard Level 1
494,仅,U+4EC5,hanzi_frequency,phase1,494,jǐn,4,Jun Da frequency list; filtered by General Standard Level 1
495,考,U+8003,hanzi_frequency,phase1,495,kǎo,6,Jun Da frequency list; filtered by General Standard Level 1
496,落,U+843D,hanzi_frequency,phase1,496,luò,12,Jun Da frequency list; filtered by General Standard Level 1
497,青,U+9752,hanzi_frequency,phase1,497,qīng,8,Jun Da frequency list; filtered by General Standard Level 1
498,随,U+968F,hanzi_frequency,phase1,498,suí,11,Jun Da frequency list; filtered by General Standard Level 1
499,选,U+9009,hanzi_frequency,phase1,499,xuǎn,9,Jun Da frequency list; filtered by General Standard Level 1
500,列,U+5217,hanzi_frequency,phase1,500,liè,6,Jun Da frequency list; filtered by General Standard Level 1
501,武,U+6B66,hanzi_frequency,phase1,501,wǔ,8,Jun Da frequency list; filtered by General Standard Level 1
502,红,U+7EA2,hanzi_frequency,phase1,502,hóng,6,Jun Da frequency list; filtered by General Standard Level 1
503,响,U+54CD,hanzi_frequency,phase1,503,xiǎng,9,Jun Da frequency list; filtered by General Standard Level 1
504,虽,U+867D,hanzi_frequency,phase1,504,suī,9,Jun Da frequency list; filtered by General Standard Level 1
505,推,U+63A8,hanzi_frequency,phase1,505,tuī,11,Jun Da frequency list; filtered by General Standard Level 1
506,势,U+52BF,hanzi_frequency,phase1,506,shì,8,Jun Da frequency list; filtered by General Standard Level 1
507,参,U+53C2,hanzi_frequency,phase1,507,cān,8,Jun Da frequency list; filtered by General Standard Level 1
508,希,U+5E0C,hanzi_frequency,phase1,508,xī,7,Jun Da frequency list; filtered by General Standard Level 1
509,古,U+53E4,hanzi_frequency,phase1,509,gǔ,5,Jun Da frequency list; filtered by General Standard Level 1
510,众,U+4F17,hanzi_frequency,phase1,510,zhòng,6,Jun Da frequency list; filtered by General Standard Level 1
511,构,U+6784,hanzi_frequency,phase1,511,gòu,8,Jun Da frequency list; filtered by General Standard Level 1
512,房,U+623F,hanzi_frequency,phase1,512,fáng,8,Jun Da frequency list; filtered by General Standard Level 1
513,半,U+534A,hanzi_frequency,phase1,513,bàn,5,Jun Da frequency list; filtered by General Standard Level 1
514,节,U+8282,hanzi_frequency,phase1,514,jié,5,Jun Da frequency list; filtered by General Standard Level 1
515,土,U+571F,hanzi_frequency,phase1,515,tǔ,3,Jun Da frequency list; filtered by General Standard Level 1
516,投,U+6295,hanzi_frequency,phase1,516,tóu,7,Jun Da frequency list; filtered by General Standard Level 1
517,某,U+67D0,hanzi_frequency,phase1,517,mǒu,9,Jun Da frequency list; filtered by General Standard Level 1
518,案,U+6848,hanzi_frequency,phase1,518,àn,10,Jun Da frequency list; filtered by General Standard Level 1
519,黑,U+9ED1,hanzi_frequency,phase1,519,hēi,12,Jun Da frequency list; filtered by General Standard Level 1
520,维,U+7EF4,hanzi_frequency,phase1,520,wéi,11,Jun Da frequency list; filtered by General Standard Level 1
521,革,U+9769,hanzi_frequency,phase1,521,gé,9,Jun Da frequency list; filtered by General Standard Level 1
522,划,U+5212,hanzi_frequency,phase1,522,huà,6,Jun Da frequency list; filtered by General Standard Level 1
523,敌,U+654C,hanzi_frequency,phase1,523,dí,10,Jun Da frequency list; filtered by General Standard Level 1
524,致,U+81F4,hanzi_frequency,phase1,524,zhì,10,Jun Da frequency list; filtered by General Standard Level 1
525,陈,U+9648,hanzi_frequency,phase1,525,chén,7,Jun Da frequency list; filtered by General Standard Level 1
526,律,U+5F8B,hanzi_frequency,phase1,526,lǜ,9,Jun Da frequency list; filtered by General Standard Level 1
527,足,U+8DB3,hanzi_frequency,phase1,527,zú,7,Jun Da frequency list; filtered by General Standard Level 1
528,态,U+6001,hanzi_frequency,phase1,528,tài,8,Jun Da frequency list; filtered by General Standard Level 1
529,护,U+62A4,hanzi_frequency,phase1,529,hù,7,Jun Da frequency list; filtered by General Standard Level 1
530,七,U+4E03,hanzi_frequency,phase1,530,qī,2,Jun Da frequency list; filtered by General Standard Level 1
531,兴,U+5174,hanzi_frequency,phase1,531,xìng,6,Jun Da frequency list; filtered by General Standard Level 1
532,派,U+6D3E,hanzi_frequency,phase1,532,pài,9,Jun Da frequency list; filtered by General Standard Level 1
533,孩,U+5B69,hanzi_frequency,phase1,533,hái,9,Jun Da frequency list; filtered by General Standard Level 1
534,验,U+9A8C,hanzi_frequency,phase1,534,yàn,10,Jun Da frequency list; filtered by General Standard Level 1
535,责,U+8D23,hanzi_frequency,phase1,535,zé,8,Jun Da frequency list; filtered by General Standard Level 1
536,营,U+8425,hanzi_frequency,phase1,536,yíng,11,Jun Da frequency list; filtered by General Standard Level 1
537,星,U+661F,hanzi_frequency,phase1,537,xīng,9,Jun Da frequency list; filtered by General Standard Level 1
538,够,U+591F,hanzi_frequency,phase1,538,gòu,11,Jun Da frequency list; filtered by General Standard Level 1
